"";"mean"
"1";0,368802874833333
"2";0,313234984791667
"3";0,419192303291667
"4";0,370795057125
"5";0,396762105458333
"6";0,469440654375
"7";0,436040372
"8";0,422595009375
"9";0,479134417833333
"10";0,3073132025
"11";0,412820691125
"12";0,369982953833333
"13";0,2728820645
"14";0,286514283125
"15";0,439837226458333
"16";0,396160218541667
"17";0,338915772708333
"18";0,376735690041667
"19";0,338698479458333
"20";0,398557649416667
"21";0,44162061525
"22";0,342716246208333
"23";0,464820230958333
"24";0,427189864708333
"25";0,342123064541667
"26";0,364958624458333
"27";0,403800389208333
"28";0,333597316125
"29";0,441207276208333
"30";0,411947257625
"31";0,451910065875
"32";0,298739890333333
"33";0,355366550083333
"34";0,344831121541667
"35";0,388514597041667
"36";0,279748182333333
"37";0,362716370833333
"38";0,325158637916667
"39";0,522748235458333
"40";0,409442479333333
"41";0,329373762416667
"42";0,451188618333333
"43";0,34388428775
"44";0,282296223666667
"45";0,364849385708333
"46";0,423448615208333
"47";0,347163090541667
"48";0,349068453333333
"49";0,321292226625
"50";0,297725200958333
"51";0,365410530625
"52";0,367896186583333
"53";0,410274534333333
"54";0,406108111916667
"55";0,306609287333333
"56";0,504900986125
"57";0,504033220791667
"58";0,392016271083333
"59";0,316033718416667
"60";0,454143149375
"61";0,384966086875
"62";0,421285487083333
"63";0,51149746675
"64";0,420192851666667
"65";0,478001055333333
"66";0,4387222385
"67";0,228918019625
"68";0,474415993291667
"69";0,365400770875
"70";0,395485583958333
"71";0,259645646541667
"72";0,304999615333333
"73";0,361201303916667
"74";0,378882442291667
"75";0,34943398775
"76";0,346527443958333
"77";0,358054650916667
"78";0,324275013458333
"79";0,313883446791667
"80";0,313164289083333
"81";0,306710277583333
"82";0,40089725
"83";0,490293834708333
"84";0,445775713166667
"85";0,401223511875
"86";0,331947753458333
"87";0,409085011958333
"88";0,386668339375
"89";0,3429320905
"90";0,311011665333333
"91";0,352273746541667
"92";0,442625515333333
"93";0,2689616565
"94";0,404780288583333
"95";0,522717105791667
"96";0,44835572025
"97";0,521119985791667
"98";0,391217584333333
"99";0,422905213791667
"100";0,394228139958333
"101";0,393353159208333
"102";0,487016572083333
"103";0,456514756125
"104";0,391500855208333
"105";0,433336534916667
"106";0,49492759525
"107";0,392599792833333
"108";0,444100138333333
"109";0,400372619416667
"110";0,387345330375
"111";0,3418895295
"112";0,415432020791667
"113";0,291518339291667
"114";0,40982590075
"115";0,511476189458333
"116";0,335169473833333
"117";0,436906860958333
"118";0,342154122916667
"119";0,333089627041667
"120";0,419759996625
"121";0,389302687291667
"122";0,493518833
"123";0,411114231666667
"124";0,402798207
"125";0,384635922375
"126";0,396409478666667
"127";0,319191384458333
"128";0,369485182
"129";0,342115503375
"130";0,407731437291667
"131";0,425140524833333
"132";0,380707485833333
"133";0,346966445625
"134";0,336520443333333
"135";0,438962215541667
"136";0,365666979458333
"137";0,413071980791667
"138";0,425679482583333
"139";0,306046746333333
"140";0,368286076416667
"141";0,308813164458333
"142";0,443756846333333
"143";0,409393846541667
"144";0,221549816416667
"145";0,350190887125
"146";0,381262774958333
"147";0,448404027041667
"148";0,385203165166667
"149";0,332886967833333
"150";0,356492272375
"151";0,351874946791667
"152";0,439677943625
"153";0,350383992708333
"154";0,378953061458333
"155";0,360407405958333
"156";0,420005403041667
"157";0,419280171666667
"158";0,445187838583333
"159";0,446743464625
"160";0,339546074958333
"161";0,313062053083333
"162";0,388329024291667
"163";0,36509170575
"164";0,342024783791667
"165";0,385725219833333
"166";0,484726565541667
"167";0,434819537125
"168";0,388429066416667
"169";0,497045774125
"170";0,366515352125
"171";0,288671393166667
"172";0,352462220208333
"173";0,4107540485
"174";0,388554355375
"175";0,299885774666667
"176";0,449725999625
"177";0,359001071875
"178";0,432464057291667
"179";0,271372192833333
"180";0,325848000541667
"181";0,298044848583333
"182";0,356679512666667
"183";0,419508340541667
"184";0,397892601541667
"185";0,3698707435
"186";0,331066794
"187";0,284838999125
"188";0,480002356916667
"189";0,412936677916667
"190";0,341462104291667
"191";0,388635801291667
"192";0,406629173166667
"193";0,438436393666667
"194";0,540491356208333
"195";0,331430773791667
"196";0,389566412791667
"197";0,374744206
"198";0,5190750395
"199";0,368952351791667
"200";0,467348107208333
"201";0,400815980416667
"202";0,305096504458333
"203";0,412240098375
"204";0,392721213625
"205";0,312328086791667
"206";0,50670066875
"207";0,369506871791667
"208";0,359156109375
"209";0,423432169083333
"210";0,371820937125
"211";0,36860956875
"212";0,361922265958333
"213";0,365453719708333
"214";0,311485352291667
"215";0,481311226416667
"216";0,466243327583333
"217";0,362895213583333
"218";0,303920422916667
"219";0,420966275291667
"220";0,430799956208333
"221";0,337841492708333
"222";0,314120625083333
"223";0,309339782291667
"224";0,337710475125
"225";0,409963534791667
"226";0,350701570583333
"227";0,477866710333333
"228";0,353813199125
"229";0,411995470125
"230";0,383611892125
"231";0,418954889541667
"232";0,380381265416667
"233";0,421469081583333
"234";0,362376926
"235";0,327926269083333
"236";0,341973901875
"237";0,298537698125
"238";0,484915224375
"239";0,543040516291667
"240";0,358735234208333
"241";0,36142301475
"242";0,467693687125
"243";0,425208786416667
"244";0,37219617125
"245";0,39108595225
"246";0,474657238833333
"247";0,328333159958333
"248";0,381579750625
"249";0,320393694625
"250";0,31809401775
"251";0,323867903166667
"252";0,307099797708333
"253";0,369709520875
"254";0,351878909833333
"255";0,408811686
"256";0,374093921125
"257";0,355444990166667
"258";0,510276186041667
"259";0,374634429
"260";0,326946582625
"261";0,469846194
"262";0,236175799833333
"263";0,437670201375
"264";0,383814927791667
"265";0,374504899125
"266";0,337292407333333
"267";0,399922150958333
"268";0,39052451675
"269";0,362849222666667
"270";0,284571477625
"271";0,300431432458333
"272";0,41568510575
"273";0,362553811
"274";0,4841362285
"275";0,392518176666667
"276";0,393982833333333
"277";0,320846104625
"278";0,49871079275
"279";0,341728835375
"280";0,435462253916667
"281";0,438568147833333
"282";0,366237977958333
"283";0,334934101541667
"284";0,432791205541667
"285";0,390732904791667
"286";0,353058781875
"287";0,3770235525
"288";0,373431718083333
"289";0,362170123041667
"290";0,470280181625
"291";0,390435194041667
"292";0,407681670333333
"293";0,386578103125
"294";0,522521055291667
"295";0,389227363875
"296";0,503664470041667
"297";0,383917442416667
"298";0,287253951416667
"299";0,405996331666667
"300";0,4121862985
"301";0,294444215458333
"302";0,325807962
"303";0,5092735175
"304";0,346849146041667
"305";0,389650306041667
"306";0,334077033541667
"307";0,384752439041667
"308";0,424525004416667
"309";0,405202009541667
"310";0,361177351083333
"311";0,328562274791667
"312";0,464822660958333
"313";0,32247533925
"314";0,306914505875
"315";0,425335314708333
"316";0,385819652333333
"317";0,407360554541667
"318";0,316536440125
"319";0,478877191666667
"320";0,392184549583333
"321";0,4540754335
"322";0,396093103791667
"323";0,301473344583333
"324";0,399024348333333
"325";0,57308006675
"326";0,341783150291667
"327";0,31224372025
"328";0,338527926458333
"329";0,295140959458333
"330";0,448015851083333
"331";0,397884736541667
"332";0,432060306708333
"333";0,48203789125
"334";0,349101819458333
