Algorithmus&Geometrie&Zeit(ms)&Bilderanzahl&Abdeckungsrate\\
QuadPos&Elipse 1&6&5&1.000\\
Greedy&Elipse 1&11&4&1.000\\
Brute Force&Elipse 1&121198&3&0.424\\
Sequence Monte-Carlo&Elipse 1&111134&10&0.992\\
Rollout Monte-Carlo&Elipse 1&28&5&1.000\\
Gridded Random&Elipse 1&3&5&1.000\\
QuadPos&Isosceles triangle 1&10&9&1.000\\
Greedy&Isosceles triangle 1&398&12&0.968\\
Brute Force&Isosceles triangle 1&111218&3&0.390\\
Sequence Monte-Carlo&Isosceles triangle 1&62690&45&1.000\\
Rollout Monte-Carlo&Isosceles triangle 1&20332&14&0.968\\
Gridded Random&Isosceles triangle 1&3&1&0.107\\
QuadPos&Hexagon 1&57&23&1.000\\
Greedy&Hexagon 1&6593&36&1.000\\
Brute Force&Hexagon 1&115698&3&0.186\\
Sequence Monte-Carlo&Hexagon 1&46530&109&0.994\\
Rollout Monte-Carlo&Hexagon 1&1303&37&1.000\\
Gridded Random&Hexagon 1&3&37&1.000\\
QuadPos&Isosceles triangle 2&46&10&1.000\\
Greedy&Isosceles triangle 2&1992&16&1.000\\
Brute Force&Isosceles triangle 2&112016&3&0.344\\
Sequence Monte-Carlo&Isosceles triangle 2&46036&79&1.000\\
Rollout Monte-Carlo&Isosceles triangle 2&294&16&1.000\\
Gridded Random&Isosceles triangle 2&3&16&1.000\\
QuadPos&Trapeze 1&28&10&1.000\\
Greedy&Trapeze 1&1334&15&1.000\\
Brute Force&Trapeze 1&112643&3&0.292\\
Sequence Monte-Carlo&Trapeze 1&39642&79&1.000\\
Rollout Monte-Carlo&Trapeze 1&248&16&1.000\\
Gridded Random&Trapeze 1&2&16&1.000\\
QuadPos&Square 1&26&12&1.000\\
Greedy&Square 1&3619&18&1.000\\
Brute Force&Square 1&107064&3&0.199\\
Sequence Monte-Carlo&Square 1&44264&122&1.000\\
Rollout Monte-Carlo&Square 1&809&24&1.000\\
Gridded Random&Square 1&3&24&1.000\\
QuadPos&Car Door 1&5&3&1.000\\
Greedy&Car Door 1&34&4&1.000\\
Brute Force&Car Door 1&121265&3&0.528\\
Sequence Monte-Carlo&Car Door 1&96094&18&1.000\\
Rollout Monte-Carlo&Car Door 1&52&5&1.000\\
Gridded Random&Car Door 1&2&5&1.000\\
QuadPos&Elipse 2&8&13&1.000\\
Greedy&Elipse 2&383&24&1.000\\
Brute Force&Elipse 2&127073&3&0.116\\
Sequence Monte-Carlo&Elipse 2&72529&43&0.981\\
Rollout Monte-Carlo&Elipse 2&320&23&1.000\\
Gridded Random&Elipse 2&12&17&1.000\\
QuadPos&Isosceles triangle 3&12&8&1.000\\
Greedy&Isosceles triangle 3&303&10&0.982\\
Brute Force&Isosceles triangle 3&116670&3&0.493\\
Sequence Monte-Carlo&Isosceles triangle 3&68813&34&1.000\\
Rollout Monte-Carlo&Isosceles triangle 3&19683&12&0.982\\
Gridded Random&Isosceles triangle 3&5&1&0.104\\
QuadPos&Hexagon 2&19&11&1.000\\
Greedy&Hexagon 2&472&14&1.000\\
Brute Force&Hexagon 2&119287&3&0.324\\
