"";"mean"
"1";0,541055766958333
"2";0,421904671291667
"3";0,459381468041667
"4";0,389460756375
"5";0,3949833895
"6";0,449819181125
"7";0,48291511375
"8";0,437602694291667
"9";0,413536936958333
"10";0,49483990875
"11";0,47509049625
"12";0,365523161958333
"13";0,439155254583333
"14";0,519082015625
"15";0,432960584833333
"16";0,56143007925
"17";0,400663057583333
"18";0,386130440416667
"19";0,448993011041667
"20";0,459502435166667
"21";0,366116038583333
"22";0,483486682875
"23";0,571431758541667
"24";0,442054456208333
"25";0,478117252333333
"26";0,34973293125
"27";0,365599647666667
"28";0,414480046583333
"29";0,435369222416667
"30";0,483529939625
"31";0,458650613125
"32";0,490304770916667
"33";0,413740348708333
"34";0,400769490833333
"35";0,426856405625
"36";0,423834521625
"37";0,449991984791667
"38";0,382224183666667
"39";0,416879599166667
"40";0,479541882708333
"41";0,452715664208333
"42";0,386687170416667
"43";0,373362929583333
"44";0,4725448345
"45";0,395878310166667
"46";0,502483154958333
"47";0,40455160575
"48";0,462788950083333
"49";0,462377020583333
"50";0,407117465458333
"51";0,499150210416667
"52";0,459164031083333
"53";0,471018369333333
"54";0,459575688625
"55";0,480314997458333
"56";0,446111477041667
"57";0,4696659865
"58";0,432513391666667
"59";0,418745976541667
"60";0,472223403083333
"61";0,57243638575
"62";0,511493826416667
"63";0,501151388958333
"64";0,454918809125
"65";0,57389315975
"66";0,470749963208333
"67";0,494354960583333
"68";0,390136553166667
"69";0,526344926458333
"70";0,516959477833333
"71";0,452447872666667
"72";0,393972839208333
"73";0,446664835458333
"74";0,428187301416667
"75";0,37124170675
"76";0,576900818958333
"77";0,462443586
"78";0,35608844575
"79";0,456146581166667
"80";0,577953379166667
"81";0,46742168825
"82";0,465008740083333
"83";0,376246766791667
"84";0,466976403541667
"85";0,438816600875
"86";0,442450139166667
"87";0,453026607291667
"88";0,437611584708333
"89";0,463796789458333
"90";0,443604783541667
"91";0,510568110958333
"92";0,403232182208333
"93";0,547171896375
"94";0,402777980083333
"95";0,519674122916667
"96";0,477983841291667
"97";0,491779937458333
"98";0,492723664041667
"99";0,5500191
"100";0,405454354875
"101";0,443623249583333
"102";0,542592621875
"103";0,552960858583333
"104";0,517671317166667
"105";0,513811565041667
"106";0,52053148675
"107";0,40590985825
"108";0,520029734708333
"109";0,442029415625
"110";0,43332708225
"111";0,423627875541667
"112";0,417706208041667
"113";0,437403983625
"114";0,43461474875
"115";0,449619379208333
"116";0,5096281105
"117";0,535149903958333
"118";0,406294859583333
"119";0,44973740275
"120";0,403334768833333
"121";0,500411218958333
"122";0,5493690745
"123";0,496643610125
"124";0,505773639708333
"125";0,506114314916667
"126";0,452072904125
"127";0,464543171583333
"128";0,47529707825
"129";0,487731331083333
"130";0,457888857875
"131";0,442918268791667
"132";0,5264172235
"133";0,506447119583333
"134";0,446171725666667
"135";0,361998884125
"136";0,4239289735
"137";0,459201296041667
"138";0,399771687958333
"139";0,365772107666667
"140";0,501539541958333
"141";0,603704341958333
"142";0,48237080175
"143";0,413326888708333
