Algorithmus;Geometrie;Zeit(ms);Bilderanzahl;Abdeckungsrate
GUI_ID_QUADSEARCH;GUI_ID_CARDOOR_BUTTON;88;28;1
GUI_ID_GREEDY;GUI_ID_CARDOOR_BUTTON;11169;42;1
GUI_ID_FORCE;GUI_ID_CARDOOR_BUTTON;94277;3;0.0959849
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_CARDOOR_BUTTON;32940;161;0.996236
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_CARDOOR_BUTTON;2384;50;1
GUI_ID_GRID_APPROACHES;GUI_ID_CARDOOR_BUTTON;80;42;1
