Algorithmus;Geometrie;Zeit(ms);Bilderanzahl;Abdeckungsrate
GUI_ID_QUADSEARCH;GUI_ID_ELIPSE_BUTTON;6;5;1
GUI_ID_GREEDY;GUI_ID_ELIPSE_BUTTON;11;4;1
GUI_ID_FORCE;GUI_ID_ELIPSE_BUTTON;121198;3;0.423729
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;111134;10;0.991525
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;28;5;1
GUI_ID_GRID_APPROACHES;GUI_ID_ELIPSE_BUTTON;3;5;1
GUI_ID_QUADSEARCH;GUI_ID_POINTED_TRIANGLE_BUTTON;10;9;1
GUI_ID_GREEDY;GUI_ID_POINTED_TRIANGLE_BUTTON;398;12;0.967807
GUI_ID_FORCE;GUI_ID_POINTED_TRIANGLE_BUTTON;111218;3;0.390342
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_POINTED_TRIANGLE_BUTTON;62690;45;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_POINTED_TRIANGLE_BUTTON;20332;14;0.967807
GUI_ID_GRID_APPROACHES;GUI_ID_POINTED_TRIANGLE_BUTTON;3;1;0.10664
GUI_ID_QUADSEARCH;GUI_ID_HEXAGON_BUTTON;57;23;1
GUI_ID_GREEDY;GUI_ID_HEXAGON_BUTTON;6593;36;1
GUI_ID_FORCE;GUI_ID_HEXAGON_BUTTON;115698;3;0.185771
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;46530;109;0.993676
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;1303;37;1
GUI_ID_GRID_APPROACHES;GUI_ID_HEXAGON_BUTTON;3;37;1
GUI_ID_QUADSEARCH;GUI_ID_TRIANGLE_BUTTON;46;10;1
GUI_ID_GREEDY;GUI_ID_TRIANGLE_BUTTON;1992;16;1
GUI_ID_FORCE;GUI_ID_TRIANGLE_BUTTON;112016;3;0.343874
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_TRIANGLE_BUTTON;46036;79;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_TRIANGLE_BUTTON;294;16;1
GUI_ID_GRID_APPROACHES;GUI_ID_TRIANGLE_BUTTON;3;16;1
GUI_ID_QUADSEARCH;GUI_ID_TRAPEZE_BUTTON;28;10;1
GUI_ID_GREEDY;GUI_ID_TRAPEZE_BUTTON;1334;15;1
GUI_ID_FORCE;GUI_ID_TRAPEZE_BUTTON;112643;3;0.291616
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;39642;79;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;248;16;1
GUI_ID_GRID_APPROACHES;GUI_ID_TRAPEZE_BUTTON;2;16;1
GUI_ID_QUADSEARCH;GUI_ID_SQUARE_BUTTON;26;12;1
GUI_ID_GREEDY;GUI_ID_SQUARE_BUTTON;3619;18;1
GUI_ID_FORCE;GUI_ID_SQUARE_BUTTON;107064;3;0.199359
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;44264;122;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;809;24;1
GUI_ID_GRID_APPROACHES;GUI_ID_SQUARE_BUTTON;3;24;1
GUI_ID_QUADSEARCH;GUI_ID_CARDOOR_BUTTON;5;3;1
GUI_ID_GREEDY;GUI_ID_CARDOOR_BUTTON;34;4;1
GUI_ID_FORCE;GUI_ID_CARDOOR_BUTTON;121265;3;0.528302
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_CARDOOR_BUTTON;96094;18;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_CARDOOR_BUTTON;52;5;1
GUI_ID_GRID_APPROACHES;GUI_ID_CARDOOR_BUTTON;2;5;1
